# SLAB_GR_Simulation trajectory — metric: Schwarzschild; coordinates: ingoing Eddington–Finkelstein (v, r, theta, phi)
# internal units geometrized (G=c=M=1); SI columns marked _m, _s, _years, _SI, _m_s2
segment,step_h,err_estimate,n_rejected,mode_is_lnr,r_geo,r_m,r_over_rs,log10_r_over_rs,v_geo,t_ef_geo,t_schw_geo,t_schw_years,tau_geo,tau_s,tau_years,tau_since_horizon_geo,tau_since_horizon_years,tau_to_center_est_geo,tau_to_center_est_years,u_v,u_r,u_theta,u_phi,u_lower_v,u_lower_r,a_v,a_r,a_magnitude_SI,E,E_killing,E_conditioning_scale,E_drift_conditioned,L,norm_residual,norm_conditioning_scale,norm_residual_conditioned,K_geo_log10,K_SI_log10,K_over_Kplanck_log10,curvature_length_m,tidal_lambda1_geo,tidal_lambda2_geo,tidal_lambda3_geo,tidal_radial_SI_per_m,tidal_transverse_SI_per_m,radial_stretch_m_s2,transverse_compress_m_s2,tidal_radial_newtonian_SI_per_m,tidal_closed_form_reldiff,lc_out_drdtEF,lc_in_drdtEF,worldline_drdtEF,dr_dt_schw,redshift_1pz_to_infinity,gamma_rel_to_E1_faller,v_rel_to_E1_faller,kruskal_U,kruskal_V,kruskal_T,kruskal_X,penrose_Ut,penrose_Vt,penrose_T,penrose_X,ur_analytic_E1,uv_analytic_E1,ur_reldiff_E1,uv_reldiff_E1,regime_code
0.0,0.0,0.0,0.0,1.0,199.99999999999991,2.953339382066877e+23,99.99999999999996,1.9999999999999998,0.0,-199.99999999999991,-209.1902397002691,-32651272.279733498,0.0,0.0,0.0,nan,nan,1333.3333333333323,208112146.00016207,0.9090909090909091,-0.10000000000000005,0.0,0.0,-1.0,0.9090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-12.124938736608298,-96.80207218053918,-235.96803265489336,1.5867848492196889e+24,-2.500000000000003e-07,1.2500000000000013e-07,1.2500000000000013e-07,-1.0304209798955982e-32,5.1521048994779904e-33,2.0608419597911964e-32,-1.0304209798955981e-32,1.0304209798955984e-32,2.1175823681357481e-16,0.9801980198019802,-1.0,-0.09909909909909916,-0.09900000000000005,1.1111111111111112,1.0,0.0,-5.198243893974771e+171,5.11949039844491e-127,-2.5991219469873857e+171,2.5991219469873857e+171,-1.5707963267948966,5.11949039844491e-127,-0.7853981633974483,0.7853981633974483,-0.10000000000000002,0.9090909090909091,2.775557561562891e-16,0.0,0.0
0.0,8.246004037490264e-08,2.9066511422129853e-07,0.0,1.0,199.99998350799248,2.9533391385344018e+23,99.99999175399624,1.9999999641880593,0.000149927336582948,-199.9998335806559,-209.19007311433913,-32651246.278316963,0.00016492007055031818,812336878.8175163,25.741402350543652,nan,nan,1333.3331684132613,208112120.25875965,0.9090909056834693,-0.10000000412300215,0.0,0.0,-1.0,0.9090909056834693,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-12.124938521736656,-96.80207196566754,-235.96803244002172,1.5867846529501827e+24,-2.500000618450384e-07,1.2500003092251922e-07,1.2500003092251922e-07,-1.0304212348012973e-32,5.152106174006487e-33,2.0608424696025946e-32,-1.0304212348012975e-32,1.0304212348012975e-32,2.117581844288029e-16,0.9801980181852752,-1.0,-0.09909910311468434,-0.0990000039993121,1.1111111162012373,1.0,0.0,-5.1980057619980895e+171,5.119682289931258e-127,-2.5990028809990447e+171,2.5990028809990447e+171,-1.5707963267948966,5.119682289931258e-127,-0.7853981633974483,0.7853981633974483,-0.10000000412300214,0.9090909056834693,1.3877787235632991e-16,0.0,0.0
0.0,4.1230020187451323e-07,7.553185048205461e-07,0.0,1.0,199.9999010479759,2.9533379208723297e+23,99.99995052398795,1.9999997851283566,0.0008995637329006061,-199.999001484243,-209.18924018499652,-32651116.27128225,0.0009895201173173755,4874019765.735472,154.44836634393843,nan,nan,1333.3323438132145,208111991.55179563,0.9090908886462689,-0.10000002473801523,0.0,0.0,-1.0,0.9090908886462689,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-12.12493744737844,-96.80207089130933,-235.96803136566353,1.5867836716030425e+24,-2.500003710704576e-07,1.250001855352288e-07,1.250001855352288e-07,-1.0304225093307351e-32,5.152112546653676e-33,2.0608450186614703e-32,-1.0304225093307351e-32,1.030422509330735e-32,0.0,0.9801980101017476,-1.0,-0.09909912319261269,-0.09900002399587458,1.1111111416518715,1.0,0.0,-5.196815266163931e+171,5.120641854889458e-127,-2.5984076330819656e+171,2.5984076330819656e+171,-1.5707963267948966,5.120641854889458e-127,-0.7853981633974483,0.7853981633974483,-0.10000002473801521,0.9090908886462689,1.3877784374726046e-16,0.0,0.0
0.0,2.061501009372566e-06,3.984032977847115e-07,0.0,1.0,199.99948874840305,2.9533318325695012e+23,99.99974437420153,1.999998889829844,0.004647738549571204,-199.99484100985347,-209.18507554595845,-32650466.2373066,0.005112512701549104,25182396521.132793,797.9819923293531,nan,nan,1333.328220820631,208111348.01816976,0.9090908034602235,-0.10000012781314431,0.0,0.0,-0.9999999999999999,0.9090908034602235,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.0,1.1102230246251565e-16,-12.124932075587363,-96.80206551951825,-235.96802599387246,1.5867787648764187e+24,-2.500019172032903e-07,1.2500095860164512e-07,1.2500095860164512e-07,-1.0304288820015691e-32,5.152144410007845e-33,2.0608577640031382e-32,-1.030428882001569e-32,1.0304288820015692e-32,2.1175661289167517e-16,0.9801979696840613,-1.0,-0.09909922358231339,-0.09900012397874508,1.1111112689051388,1.0,0.0,-5.190866886243665e+171,5.125442368895199e-127,-2.5954334431218325e+171,2.5954334431218325e+171,-1.5707963267948966,5.125442368895199e-127,-0.7853981633974483,0.7853981633974483,-0.10000012781314428,0.9090908034602236,2.7755540140400345e-16,-1.2212454689887677e-16,0.0
0.0,1.0307505046862829e-05,1.580433623474121e-06,0.0,1.0,199.99742726328782,2.9533013912436193e+23,99.99871363164391,1.99999441333728,0.023388433511151108,-199.97403882977667,-209.1642525426375,-32647216.09737613,0.025727284383840997,126723338324.32806,4015.620272908208,nan,nan,1333.3076060489486,208108130.37988916,0.9090903775289195,-0.10000064319038343,0.0,0.0,-1.0,0.9090903775289195,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.220446049250313e-16,1.0,2.220446049250313e-16,-12.124905216631978,-96.80203866056286,-235.96799913491705,1.5867542314708782e+24,-2.5000964801088754e-07,1.2500482400544375e-07,1.2500482400544375e-07,-1.0304607459469281e-32,5.15230372973464e-33,2.0609214918938562e-32,-1.030460745946928e-32,1.0304607459469284e-32,2.1175006494584694e-16,0.9801977675944045,-1.0,-0.09909972553229213,-0.09900062389454783,1.1111119051738803,0.9999999999999999,0.0,-5.161227224467138e+171,5.149512298762082e-127,-2.580613612233569e+171,2.580613612233569e+171,-1.5707963267948966,5.149512298762082e-127,-0.7853981633974483,0.7853981633974483,-0.1000006431903834,0.9090903775289195,2.775539709558392e-16,0.0,0.0
0.0,5.153752523431415e-05,1.2189625709858351e-05,0.0,1.0,199.98712015643716,2.9531491893207332e+23,99.99356007821858,1.9999720308744597,0.11708743042086917,-199.8700327260163,-209.0601423226239,-32630966.14639545,0.12879636197639588,634404498747.9822,20103.06546594108,nan,nan,1333.2045369713567,208092042.9346962,0.9090882478454588,-0.10000322011642132,0.0,0.0,-1.0,0.9090882478454588,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-12.124770921855058,-96.80190436578594,-235.96786484014012,1.5866315701328253e+24,-2.500483056349173e-07,1.2502415281745868e-07,1.2502415281745868e-07,-1.0306200804542609e-32,5.153100402271305e-33,2.0612401609085218e-32,-1.030620080454261e-32,1.030620080454261e-32,2.1171732825371792e-16,0.9801967571154933,-1.0,-0.09910223531906732,-0.0990031235098179,1.111115086577707,1.0,0.0,-5.015554705829669e+171,5.271562246842909e-127,-2.5077773529148347e+171,2.5077773529148347e+171,-1.5707963267948966,5.271562246842909e-127,-0.7853981633974483,0.7853981633974483,-0.10000322011642128,0.9090882478454588,4.163202282383991e-16,0.0,0.0
0.0,0.00025768762617157075,2.027451599237553e-06,0.0,1.0,199.9355925894725,2.952388297356839e+23,99.96779629473625,1.9998601185603588,0.5854704857808816,-199.3501221036916,-208.53971111821997,-32549735.105299983,0.6440222485597858,3172221680104.5737,100521.63916472018,nan,nan,1332.6893110847732,208011624.3609974,0.9090775987546194,-0.10001610574272077,0.0,0.0,-1.0,0.9090775987546194,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-12.124099447970453,-96.80123289190134,-235.96719336625551,1.586018405659756e+24,-2.5024168343480786e-07,1.2512084171740396e-07,1.2512084171740396e-07,-1.031417122622474e-32,5.1570856131123706e-33,2.062834245244948e-32,-1.0314171226224741e-32,1.0314171226224741e-32,2.1155372069412014e-16,0.9801917039551723,-1.0,-0.09911478517502179,-0.09901562249261647,1.111130995099929,1.0,0.0,-4.3467315126480535e+171,5.9264330573122525e-127,-2.1733657563240267e+171,2.1733657563240267e+171,-1.5707963267948966,5.9264330573122525e-127,-0.7853981633974483,0.7853981633974483,-0.10001610574272073,0.9090775987546194,4.1626659140818917e-16,0.0,0.0
0.0,0.0012884381308578537,7.226086759496552e-05,0.0,1.0,199.67815383083504,2.9485867772350674e+23,99.83907691541752,1.9993005569898536,2.9245898147152443,-196.7535640161198,-205.94055009991277,-32144047.372310072,3.2171665322075653,15846603816557.875,502148.5732932123,nan,nan,1330.1161668011262,207609997.42686906,0.9090243364592656,-0.10008055878359996,0.0,0.0,-1.0000000000000002,0.9090243364592656,0.0,0.0,0.0,1.0000000000000002,1.0,1.0,2.220446049250313e-16,0.0,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-12.120742078547423,-96.79787552247831,-235.9638359968325,1.5829561358866477e+24,-2.5121081801370297e-07,1.2560540900685143e-07,1.2560540900685143e-07,-1.0354115890322172e-32,5.177057945161083e-33,2.0708231780644344e-32,-1.0354115890322167e-32,1.0354115890322167e-32,4.214751547881673e-16,0.9801664189996745,-1.0,-0.09917755751200984,-0.09907814007265386,1.111210575302522,1.0000000000000002,2.1073424255447017e-08,-2.1268106482868956e+171,1.0635552051342339e-126,-1.0634053241434478e+171,1.0634053241434478e+171,-1.5707963267948966,1.0635552051342339e-126,-0.7853981633974483,0.7853981633974483,-0.10008055878359991,0.9090243364592656,5.546646811923514e-16,0.0,0.0
0.0,0.006442190654289268,0.04698507237609118,0.0,1.0,198.39592371436734,2.929652473735886e+23,99.19796185718367,1.996502749137327,14.550572123228166,-183.84535159113918,-193.01932251139226,-30127249.070507444,16.008556473768653,78852384411923.14,2498681.281590588,nan,nan,1317.3247768595647,205613464.71857163,0.9087576036082626,-0.1004034475524116,0.0,0.0,-1.0,0.9087576036082626,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-12.103955231432261,-96.78108867536315,-235.94704914971734,1.5677332480668525e+24,-2.5611308134977896e-07,1.2805654067488948e-07,1.2805654067488948e-07,-1.0556171689940799e-32,5.2780858449703994e-33,2.1112343379881598e-32,-1.0556171689940799e-32,1.0556171689940799e-32,0.0,0.9800395141484944,-1.0,-0.09949199628437286,-0.09939129522919185,1.1116094178876494,1.0,0.0,-6.084079724115322e+169,1.9455169919167045e-125,-3.042039862057661e+169,3.042039862057661e+169,-1.5707963267948966,1.9455169919167045e-125,-0.7853981633974483,0.7853981633974483,-0.10040344755241155,0.9087576036082626,4.146606958063901e-16,0.0,0.0
0.0,0.010687696260751526,0.25086110816812573,0.0,1.0,196.28681915312956,2.8985079659278837e+23,98.14340957656478,1.9918611416270247,33.58474298494591,-162.70207616818365,-171.85445284001614,-26823749.23516457,36.95892502647105,182046355548300.84,5768700.900838493,nan,nan,1296.3744083068627,202343445.09932378,0.9083135376355437,-0.10094142448116317,0.0,0.0,-1.0,0.9083135376355437,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-12.076105586370447,-96.75323903030133,-235.91919950465552,1.5428004525130994e+24,-2.644579236333541e-07,1.3222896181667706e-07,1.3222896181667706e-07,-1.0900119712457428e-32,5.450059856228714e-33,2.1800239424914856e-32,-1.0900119712457428e-32,1.0900119712457428e-32,0.0,0.9798272017419828,-1.0,-0.10001578220577591,-0.0999129150283464,1.1122745805777017,1.0,0.0,-1.7985010067737892e+167,2.268004288653455e-123,-8.992505033868946e+166,8.992505033868946e+166,-1.5707963267948966,2.268004288653455e-123,-0.7853981633974483,0.7853981633974483,-0.1009414244811631,0.9083135376355437,6.874178702720914e-16,0.0,0.0
