# SPECULATIVE QUANTUM-GRAVITY TOY MODELS — NOT ESTABLISHED PHYSICS
# SPECULATIVE MODEL — NOT experimentally established.
# model: Hayward (2006) regular black hole
r_geo,log10_r_over_rs,f,log10_K_SI,log10_K_schwarzschild_SI,tau_since_horizon_years,u_r
1.0695441266417423,-0.271831288512694,-0.8699555728287649,-83.17108444946302,-83.17108444946305,np.float64(126725.99781936768),-1.3674631888386484
1.0483657339772723,-0.2805171781507573,-0.9077311811903981,-83.11896911163464,-83.11896911163464,np.float64(129131.322005394),-1.3812064223679232
1.027606701584789,-0.28920306778882066,-0.9462699074612622,-83.06685377380626,-83.06685377380623,np.float64(131465.55811845945),-1.3950877776904442
1.007258725574545,-0.2978889574268839,-0.9855871676457215,-83.01473843597788,-83.01473843597788,np.float64(133730.80712863145),-1.4091086429533108
0.987313666484826,-0.3065748470649473,-1.0256986891720876,-82.96262309814949,-82.96262309814952,np.float64(135929.10791292807),-1.4232704202547342
0.9677635460260586,-0.3152607367030106,-1.0666205171837984,-82.91050776032114,-82.91050776032117,np.float64(138062.43909044494),-1.4375745257842456
0.9486005438893874,-0.3239466263410739,-1.10836902095769,-82.85839242249276,-82.85839242249276,np.float64(140132.72080324593),-1.452022389964318
0.9298169946184478,-0.3326325159791372,-1.150960900451926,-82.80627708466437,-82.80627708466434,np.float64(142141.81644462084),-1.4666154575934094
0.9114053845430806,-0.3413184056172005,-1.194413192986203,-82.75416174683599,-82.75416174683599,np.float64(144091.53433626494),-1.4813551879904439
0.8933583487737643,-0.35000429525526383,-1.2387432800569078,-82.70204640900761,-82.70204640900758,np.float64(145983.62935589056),-1.4962430551407442
0.8756686682555609,-0.3586901848933271,-1.2839688942899423,-82.64993107117922,-82.64993107117922,np.float64(147819.80451673563),-1.5112805478434315
0.8583292668803973,-0.36737607453139043,-1.330108126534018,-82.59781573335084,-82.59781573335081,np.float64(149601.71250039045),-1.5264691698603081
0.8413332086565286,-0.3760619641694538,-1.37717943309723,-82.54570039552246,-82.54570039552246,np.float64(151330.95714432272),-1.5418104400662327
0.8246736949340482,-0.3847478538075171,-1.4252016431298276,-82.49358505769408,-82.4935850576941,np.float64(153009.09488543947),-1.5573058926010097
0.8083440616853372,-0.39343374344558035,-1.4741939661561303,-82.4414697198657,-82.4414697198657,np.float64(154637.63616098545),-1.5729570770228063
0.7923377768393646,-0.40211963308364373,-1.5241759997585875,-82.38935438203734,-82.38935438203734,np.float64(156218.0467680384),-1.5887655584631069
0.7766484376687722,-0.410805522721707,-1.5751677374170767,-82.33723904420896,-82.33723904420893,np.float64(157751.74918282565),-1.6047329177832292
