# SPECULATIVE QUANTUM-GRAVITY TOY MODELS — NOT ESTABLISHED PHYSICS
# SPECULATIVE MODEL — NOT experimentally established.
# model: Dymnikova (1992) regular black hole
r_geo,log10_r_over_rs,f,log10_K_SI,log10_K_schwarzschild_SI,tau_since_horizon_years,u_r
1.9999999999999898,-2.217953173072566e-15,-5.10702591327572e-15,-84.80207218053917,-84.80207218053917,np.float64(0.0),-1.0000000000000024
1.9801007476123933,-0.004342707918105447,-0.010049616117564275,-84.77601593303055,-84.77601593303055,np.float64(3098.218451161513),-1.0050122467500404
1.9488364828500868,-0.011254594501752684,-0.026253365841699017,-84.73454461352867,-84.73454461352864,np.float64(7934.519363164905),-1.0130416407244567
1.910246934981466,-0.019940484139815983,-0.046985059038665566,-84.68242927570029,-84.68242927570029,np.float64(13850.662313947461),-1.023222878476955
1.872421511357136,-0.02862637377787927,-0.06813556021923439,-84.6303139378719,-84.63031393787188,np.float64(19591.95681636892),-1.0335064393699898
1.8353450813033019,-0.03731226341594255,-0.08971332986588809,-84.57819860004352,-84.57819860004352,np.float64(25163.570423030462),-1.0438933517682196
1.7990028137535825,-0.04599815305400588,-0.11172699937419273,-84.52608326221517,-84.52608326221517,np.float64(30570.517962273276),-1.0543846543715405
1.7633801713163884,-0.054684042692069196,-0.1341853745054713,-84.47396792438678,-84.47396792438676,np.float64(35817.666051862594),-1.0649813963189552
1.7284629044597695,-0.06336993233013255,-0.15709743890922523,-84.4218525865584,-84.4218525865584,np.float64(40909.737479272175),-1.0756846372934892
1.6942370458114138,-0.07205582196819585,-0.180472357716714,-84.36973724873002,-84.36973724872999,np.float64(45851.31545251181),-1.0864954476281592
1.6606889045715107,-0.08074171160625916,-0.20431948120713073,-84.31762191090164,-84.31762191090164,np.float64(50646.84772532392),-1.097414908413008
1.6278050610362502,-0.08942760124432243,-0.228648348547837,-84.26550657307325,-84.26550657307328,np.float64(55300.65060046219),-1.1084441116032133
1.5955723612297605,-0.09811349088238577,-0.25346869161015895,-84.21339123524487,-84.21339123524487,np.float64(59816.91281465536),-1.1195841601282857
1.5639779116423445,-0.10679938052044907,-0.2787904388622635,-84.16127589741649,-84.16127589741652,np.float64(64199.69930875305),-1.1308361680023609
1.5330090740729019,-0.11548527015851238,-0.3046237193406791,-84.1091605595881,-84.1091605595881,np.float64(68452.9548864469),-1.1422012604356024
1.502653460573482,-0.12417115979657561,-0.3309788667020457,-84.05704522175972,-84.05704522175975,np.float64(72580.50776486017),-1.1536805739467253
1.4728989284939376,-0.13285704943463897,-0.35786642335671437,-84.00492988393137,-84.00492988393134,np.float64(76586.07302020167),-1.1652752564766466
1.443733575624705,-0.1415429390727022,-0.38529714468585263,-83.95281454610299,-83.95281454610293,np.float64(80473.25593158494),-1.1769864675032813
1.4151457354357593,-0.1502288287107656,-0.4132820033437399,-83.9006992082746,-83.90069920827457,np.float64(84245.55522602296),-1.1888153781574917
1.3871239724098494,-0.15891471834882887,-0.44183219364697557,-83.84858387044622,-83.84858387044622,np.float64(87906.36622751853),-1.2007631713402005
1.3596570774681358,-0.16760060798689227,-0.47095913605235573,-83.79646853261784,-83.79646853261787,np.float64(91458.98391308518),-1.2128310418406827
1.3327340634864124,-0.1762864976249555,-0.5006744817252062,-83.74435319478945,-83.74435319478945,np.float64(94906.60587844878),-1.2250201964560445
1.3063441609001076,-0.18497238726301882,-0.5309901172000067,-83.69223785696107,-83.69223785696104,np.float64(98252.33521609964),-1.2373318541119058
1.280476813396317,-0.1936582769010822,-0.5619181691351605,-83.64012251913269,-83.64012251913269,np.float64(101499.18330828512),-1.2497672459842915
1.2551216736911366,-0.20234416653914547,-0.5934710091638213,-83.5880071813043,-83.58800718130433,np.float64(104650.07253745706),-1.2623276156227516
1.2302685993906113,-0.21103005617720874,-0.6256612588427108,-83.53589184347592,-83.53589184347598,np.float64(107707.8389166131),-1.2750142190747171
1.205907648933642,-0.21971594581527207,-0.6585017947009097,-83.48377650564757,-83.48377650564757,np.float64(110675.23464189988),-1.2878283250111056
1.182029077615229,-0.22840183545333542,-0.692005753390641,-83.43166116781919,-83.43166116781916,np.float64(113554.93056977539),-1.300771214853189
1.1586233336884597,-0.23708772509139872,-0.7261865369421057,-83.3795458299908,-83.3795458299908,np.float64(116349.51862096),-1.3138441829007372
1.1356810545436828,-0.245773614729462,-0.7610578181244743,-83.32743049216242,-83.32743049216239,np.float64(119061.51411334018),-1.3270485364614493
1.113193062963339,-0.25445950436752535,-0.7966335459151761,-83.27531515433404,-83.27531515433404,np.float64(121693.35802592423),-1.3403855959816846
1.0911503634509525,-0.2631453940055887,-0.8329279510796774,-83.22319981650566,-83.22319981650563,np.float64(124247.41919588826),-1.3538566951785103
1.069544138632812,-0.27183128364365194,-0.8699555518639752,-83.17108447867727,-83.17108447867727,np.float64(126725.99645068952),-1.367463181173071
1.0483657457309028,-0.2805171732817152,-0.9077311598020916,-83.11896914084889,-83.11896914084892,np.float64(129131.32067716635),-1.3812064146253056
