# SLAB_GR_Simulation trajectory — metric: Schwarzschild; coordinates: ingoing Eddington–Finkelstein (v, r, theta, phi)
# internal units geometrized (G=c=M=1); SI columns marked _m, _s, _years, _SI, _m_s2
segment,step_h,err_estimate,n_rejected,mode_is_lnr,r_geo,r_m,r_over_rs,log10_r_over_rs,v_geo,t_ef_geo,t_schw_geo,t_schw_years,tau_geo,tau_s,tau_years,tau_since_horizon_geo,tau_since_horizon_years,tau_to_center_est_geo,tau_to_center_est_years,u_v,u_r,u_theta,u_phi,u_lower_v,u_lower_r,a_v,a_r,a_magnitude_SI,E,E_killing,E_conditioning_scale,E_drift_conditioned,L,norm_residual,K_geo_log10,K_SI_log10,K_over_Kplanck_log10,curvature_length_m,tidal_lambda1_geo,tidal_lambda2_geo,tidal_lambda3_geo,tidal_radial_SI_per_m,tidal_transverse_SI_per_m,radial_stretch_m_s2,transverse_compress_m_s2,tidal_radial_newtonian_SI_per_m,tidal_closed_form_reldiff,lc_out_drdtEF,lc_in_drdtEF,worldline_drdtEF,dr_dt_schw,redshift_1pz_to_infinity,gamma_rel_to_E1_faller,v_rel_to_E1_faller,kruskal_U,kruskal_V,kruskal_T,kruskal_X,penrose_Ut,penrose_Vt,penrose_T,penrose_X,ur_analytic_E1,uv_analytic_E1,ur_reldiff_E1,uv_reldiff_E1,regime_code
0.0,0.0,0.0,0.0,1.0,199.99999999999991,2.953339382066877e+23,99.99999999999996,1.9999999999999998,0.0,-199.99999999999991,-209.1902397002691,-32651272.279733498,0.0,0.0,0.0,nan,nan,1333.3333333333323,208112146.00016207,0.9090909090909091,-0.10000000000000005,0.0,0.0,-1.0,0.9090909090909091,-146527.2089841378,-161179.9298825516,9.81,1.0,1.0,1.0,0.0,0.0,0.0,-12.124938736608298,-96.80207218053918,-235.96803265489336,1.5867848492196889e+24,-2.500000000000003e-07,1.2500000000000013e-07,1.2500000000000013e-07,-1.0304209798955982e-32,5.1521048994779904e-33,2.0608419597911964e-32,-1.0304209798955981e-32,1.0304209798955984e-32,2.1175823681357481e-16,0.9801980198019802,-1.0,-0.09909909909909916,-0.09900000000000005,1.1111111111111112,1.0,0.0,-2.6612397228921918e+45,0.9999985899450181,-1.3306198614460959e+45,1.3306198614460959e+45,-1.5707963267948966,0.7853974583694603,-0.39269943421271813,1.1780968925821784,-0.10000000000000002,0.9090909090909091,2.775557561562891e-16,0.0,0.0
0.0,6.879458715567258e-12,0.4051281516250432,0.0,1.0,199.99999999862396,2.953339382046559e+23,99.99999999931198,1.999999999997012,1.2358836196968422e-08,-199.99999998626512,-209.1902396865204,-32651272.277587548,1.3609635957859643e-08,67036.16581632012,0.002124247909103358,nan,nan,1333.3333333195728,208112145.9980144,0.9070989127389711,-0.1021938425231612,0.0,0.0,-1.0002217661346802,0.9070989127389711,-146206.13915180616,-161215.6741325897,9.81,1.0002217661346802,1.0002217661346802,1.0,0.0,0.0,9.992007221626409e-16,-12.124938736590371,-96.80207218052125,-235.96803265487546,1.5867848492033073e+24,-2.5000000000515985e-07,1.2500000000257992e-07,1.2500000000257992e-07,-1.0304209799168643e-32,5.1521048995843215e-33,2.0608419598337286e-32,-1.0304209799168643e-32,1.0304209799168654e-32,1.0587911840460214e-15,0.9801980198018452,-1.0,-0.10125292388195092,-0.10114947257036568,1.113551119856483,1.0000024059418158,0.002193596650682575,-2.6612397128203712e+45,0.9999985930347228,-1.3306198564101856e+45,1.3306198564101856e+45,-1.5707963267948966,0.7853974599143149,-0.39269943344029085,1.1780968933546057,-0.10000000000034401,0.9090909090906247,0.021938425228096466,-0.0021911959868196355,0.0
0.0,7.417854213211537e-12,0.4759655148155764,0.0,1.0,199.99999999714035,2.9533393820246508e+23,99.99999999857017,1.9999999999937903,2.536489750820261e-08,-199.99999997177545,-209.19023967201574,-32651272.275323596,2.796431426424505e-08,137742.14194722916,0.004364785089716238,nan,nan,1333.3333333047367,208112145.99569872,0.9050025966884836,-0.10450831725760117,0.0,0.0,-1.0004608879790706,0.9050025966884836,-145868.2550777769,-161254.2157747019,9.81,1.0004608879790706,1.0004608879790706,1.0,0.0,0.0,2.220446049250313e-15,-12.12493873657104,-96.80207218050192,-235.96803265485613,1.586784849185654e+24,-2.500000000107232e-07,1.250000000053616e-07,1.250000000053616e-07,-1.0304209799397947e-32,5.1521048996989734e-33,2.0608419598795894e-32,-1.0304209799397947e-32,1.0304209799397966e-32,1.9058241312404257e-15,0.9801980198016998,-1.0,-0.10352371214005783,-0.10341557109144545,1.1161305103402337,1.0000101578316956,0.00450725568950869,-2.6612397021732182e+45,0.9999985962862336,-1.3306198510866091e+45,1.3306198510866091e+45,-1.5707963267948966,0.7853974615400725,-0.392699432627412,1.1780968941674845,-0.10000000000071492,0.9090909090903182,0.04508317256854015,-0.004497143642020987,0.0
0.0,7.744719723461772e-12,0.47167053645614276,0.0,1.0,199.99999999559137,2.9533393820017774e+23,99.99999999779568,1.9999999999904268,3.8612539744833954e-08,-199.99999995697883,-209.19023965720348,-32651272.27301164,4.261984684261595e-08,209930.01788249856,0.006652280841461283,nan,nan,1333.3333332892469,208112145.993281,0.9028673426413748,-0.10687187744070142,0.0,0.0,-1.0007105466554636,0.9028673426413748,-145524.09498018248,-161294.4557426575,9.81,1.0007105466554636,1.0007105466554636,1.0,0.0,0.0,3.3306690738754696e-15,-12.124938736550861,-96.80207218048174,-235.96803265483595,1.5867848491672213e+24,-2.5000000001653164e-07,1.250000000082657e-07,1.250000000082657e-07,-1.0304209799637353e-32,5.1521048998186715e-33,2.0608419599274705e-32,-1.0304209799637343e-32,1.0304209799637383e-32,3.811648262392289e-15,0.980198019801548,-1.0,-0.10584106798586508,-0.10572803396534805,1.1187701253499105,1.0000235948600968,0.006869355871830291,-2.6612396912775217e+45,0.9999985995981395,-1.3306198456387608e+45,1.3306198456387608e+45,-1.5707963267948966,0.7853974631960278,-0.3926994317994344,1.1780968949954622,-0.10000000000110215,0.9090909090899982,0.06871877439523534,-0.006845923093492632,0.0
0.0,8.100661136321767e-12,0.47186050935907503,0.0,1.0,199.99999999397116,2.953339381977852e+23,99.99999999698558,1.9999999999869085,5.213018289156762e-08,-199.99999994184097,-209.19023964204925,-32651272.270646308,5.760984480023534e-08,283765.3498329431,0.008991981324084946,nan,nan,1333.3333332730447,208112145.99075213,0.9006885698665021,-0.10928999528668193,0.0,0.0,-1.0009716794542476,0.9006885698665021,-145172.9205370985,-161336.54510885556,9.81,1.0009716794542476,1.0009716794542476,1.0,0.0,0.0,4.6629367034256575e-15,-12.124938736529751,-96.80207218046064,-235.96803265481483,1.5867848491479452e+24,-2.5000000002260703e-07,1.250000000113035e-07,1.250000000113035e-07,-1.0304209799887761e-32,5.152104899943879e-33,2.0608419599775522e-32,-1.0304209799887758e-32,1.0304209799887809e-32,4.658681209477355e-15,0.9801980198013893,-1.0,-0.1082102126297164,-0.10809206449554465,1.1214764391325935,1.0000431110360768,0.00928528388310553,-2.6612396801064313e+45,0.9999986029775456,-1.3306198400532156e+45,1.3306198400532156e+45,-1.5707963267948966,0.7853974648857331,-0.3926994309545817,1.1780968958403149,-0.1000000000015072,0.9090909090896635,0.09289995285034708,-0.009242573145490159,0.0
0.0,8.472278985667433e-12,0.4717962839077248,0.0,1.0,199.99999999227668,2.9533393819528306e+23,99.99999999613834,1.999999999983229,6.592134293284356e-08,-199.99999992635534,-209.19023962654651,-32651272.26822657,7.294056679572117e-08,359278.9656971341,0.011384863414744279,nan,nan,1333.3333332560999,208112145.9881073,0.89846571165774,-0.11176373717999348,0.0,0.0,-1.0012447917208092,0.89846571165774,-144814.64040687136,-161380.56532483,9.81,1.0012447917208092,1.0012447917208092,1.0,0.0,0.0,5.995204332975845e-15,-12.124938736507675,-96.80207218043856,-235.96803265479275,1.5867848491277733e+24,-2.5000000002896095e-07,1.2500000001448047e-07,1.2500000001448047e-07,-1.0304209800149648e-32,5.152104900074824e-33,2.0608419600299295e-32,-1.0304209800149648e-32,1.0304209800149709e-32,5.9292306300932025e-15,0.9801980198012231,-1.0,-0.11063203246408763,-0.110508539692862,1.1242510392941785,1.0000691090939196,0.011756013820961642,-2.661239668653593e+45,0.9999986064253308,-1.3306198343267966e+45,1.3306198343267966e+45,-1.5707963267948966,0.7853974666096282,-0.3926994300926342,1.1780968967022623,-0.10000000000193082,0.9090909090893133,0.11763737177835522,-0.011687717174751155,0.0
0.0,8.861186039040279e-12,0.47174373316277934,0.0,1.0,199.99999999050442,2.95333938192666e+23,99.99999999525221,1.9999999999793805,7.999103718793863e-08,-199.9999999105134,-209.19023961068666,-32651272.2657511,8.862005256342947e-08,436510.46631135244,0.013832181988216861,nan,nan,1333.3333332383775,208112145.9853411,0.8961979593239192,-0.11429446105943206,0.0,0.0,-1.0015304407896866,0.8961979593239192,-144449.12424471515,-161426.60622172267,9.81,1.0015304407896866,1.0015304407896866,1.0,0.0,0.0,7.327471962526033e-15,-12.124938736484586,-96.80207218041546,-235.96803265476967,1.58678484910668e+24,-2.5000000003560666e-07,1.2500000001780328e-07,1.2500000001780328e-07,-1.0304209800423563e-32,5.1521049002117795e-33,2.0608419600847126e-32,-1.0304209800423559e-32,1.0304209800423636e-32,7.411538287419476e-15,0.9801980198010495,-1.0,-0.11310768765199851,-0.1129786093766314,1.1270958604541956,1.0001020148322697,0.014282802515870413,-2.6612396569108386e+45,0.9999986099427495,-1.3306198284554193e+45,1.3306198284554193e+45,-1.5707963267948966,0.78539746836834,-0.3926994292132783,1.1780968975816184,-0.1000000000023739,0.9090909090889472,0.1429446105671882,-0.014182244741561377,0.0
0.0,9.268151752624991e-12,0.4716881796504095,0.0,1.0,199.99999998865079,2.953339381899288e+23,99.99999999432539,1.9999999999753555,9.434426747062095e-08,-199.9999998943065,-209.19023959446105,-32651272.263218544,1.0465645149629956e-07,515499.99265057157,0.01633520903524259,nan,nan,1333.333333219841,208112145.98244786,0.8938845066730472,-0.11688354719378732,0.0,0.0,-1.0018292087995968,0.8938845066730472,-144076.24210866098,-161474.76162861116,9.81,1.0018292087995968,1.0018292087995968,1.0,0.0,0.0,8.659739592076221e-15,-12.124938736460434,-96.80207218039132,-235.9680326547455,1.586784849084626e+24,-2.500000000425574e-07,1.250000000212787e-07,1.250000000212787e-07,-1.0304209800710051e-32,5.1521049003550254e-33,2.0608419601420101e-32,-1.0304209800710051e-32,1.0304209800710138e-32,8.47032947110103e-15,0.9801980198008677,-1.0,-0.11563834724161788,-0.11550343182789989,1.1300128848424498,1.0001422768489432,0.01686691973359096,-2.6612396448700742e+45,0.999998613531052,-1.3306198224350371e+45,1.3306198224350371e+45,-1.5707963267948966,0.7853974701624937,-0.3926994283162014,1.178096898478695,-0.1000000000028373,0.9090909090885642,0.1688354719047098,-0.016727042657111803,0.0
0.0,9.694036418400716e-12,0.47162969327240095,0.0,1.0,199.99999998671188,2.9533393818706568e+23,99.99999999335594,1.9999999999711453,1.0898610480720617e-07,-199.99999987772577,-209.19023957786072,-32651272.260627497,1.2105812249830815e-07,596288.7176656891,0.01889524924790507,nan,nan,1333.333333200452,208112145.97942153,0.8915245363574579,-0.11953241462832592,0.0,0.0,-1.0021417056216169,0.8915245363574579,-143695.8622586694,-161525.12984447286,9.81,1.0021417056216169,1.0021417056216169,1.0,0.0,0.0,1.021405182655144e-14,-12.124938736435173,-96.80207218036605,-235.96803265472025,1.5867848490615465e+24,-2.5000000004982797e-07,1.2500000002491399e-07,1.2500000002491399e-07,-1.030420980100972e-32,5.15210490050486e-33,2.060841960201944e-32,-1.030420980100972e-32,1.0304209801009823e-32,9.95263712825425e-15,0.9801980198006777,-1.0,-0.11822520433866898,-0.11808418891074904,1.1330041618693896,1.000190367837426,0.019509663828484375,-2.6612396325227156e+45,0.9999986171915063,-1.3306198162613578e+45,1.3306198162613578e+45,-1.5707963267948966,0.7853974719927234,-0.3926994274010866,1.17809689939381,-0.10000000000332203,0.9090909090881636,0.1953241462435502,-0.019323010003834643,0.0
0.0,1.0139742551576488e-11,0.4715691920116146,0.0,1.0,199.999999984684,2.9533393818407115e+23,99.999999992342,1.9999999999667417,1.2392168846015372e-07,-199.9999998607623,-209.19023956087676,-32651272.25797657,1.378336391891832e-07,678918.8719200725,0.02151364083200473,nan,nan,1333.3333331801732,208112145.97625634,0.8891172200311883,-0.12224252239009596,0.0,0.0,-1.0024685702202916,0.8891172200311883,-143307.85118199614,-161577.81385756834,9.81,1.0024685702202916,1.0024685702202916,1.0,0.0,0.0,1.199040866595169e-14,-12.12493873640875,-96.80207218033964,-235.96803265469384,1.5867848490374155e+24,-2.500000000574321e-07,1.2500000002871603e-07,1.2500000002871603e-07,-1.030420980132314e-32,5.152104900661569e-33,2.060841960264628e-32,-1.0304209801323138e-32,1.0304209801323261e-32,1.185846125883584e-14,0.9801980198004787,-1.0,-0.1208694762730387,-0.12072208621912939,1.136071810718442,1.0002467858399797,0.02221236210556684,-2.6612396198603287e+45,0.999998620925397,-1.3306198099301644e+45,1.3306198099301644e+45,-1.5707963267948966,0.7853974738596714,-0.3926994264676126,1.1780969003272839,-0.100000000003829,0.9090909090877446,0.22242522385415298,-0.021971057962288383,0.0
