# SLAB_GR_Simulation trajectory — metric: Schwarzschild; coordinates: ingoing Eddington–Finkelstein (v, r, theta, phi)
# internal units geometrized (G=c=M=1); SI columns marked _m, _s, _years, _SI, _m_s2
segment,step_h,err_estimate,n_rejected,mode_is_lnr,r_geo,r_m,r_over_rs,log10_r_over_rs,v_geo,t_ef_geo,t_schw_geo,t_schw_years,tau_geo,tau_s,tau_years,tau_since_horizon_geo,tau_since_horizon_years,tau_to_center_est_geo,tau_to_center_est_years,theta,phi,u_v,u_r,u_theta,u_phi,u_lower_v,u_lower_r,a_v,a_r,a_magnitude_SI,E,E_killing,E_conditioning_scale,E_drift_conditioned,L,norm_residual,norm_conditioning_scale,norm_residual_conditioned,K_geo_log10,K_SI_log10,K_over_Kplanck_log10,curvature_length_m,tidal_lambda1_geo,tidal_lambda2_geo,tidal_lambda3_geo,tidal_radial_SI_per_m,tidal_transverse_SI_per_m,radial_stretch_m_s2,transverse_compress_m_s2,tidal_radial_newtonian_SI_per_m,tidal_closed_form_reldiff,lc_out_drdtEF,lc_in_drdtEF,worldline_drdtEF,dr_dt_schw,redshift_1pz_to_infinity,gamma_rel_to_E1_faller,v_rel_to_E1_faller,kruskal_U,kruskal_V,kruskal_T,kruskal_X,penrose_Ut,penrose_Vt,penrose_T,penrose_X,ur_analytic_E1,uv_analytic_E1,ur_reldiff_E1,uv_reldiff_E1,regime_code
0.0,0.0,0.0,0.0,0.0,20.0,2.9533393820668786e+22,10.0,1.0,0.0,-20.0,-24.39444915467244,-3807585.873053043,0.0,0.0,0.0,nan,nan,88.82954801371774,13864880.899019433,1.5707963267948966,0.0,1.0540925533894598,-0.0,0.0,0.0,-0.9486832980505139,1.0540925533894598,0.0,0.0,0.0,0.9486832980505139,0.9486832980505138,1.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,-6.1249387366083,-90.80207218053918,-229.96803265489336,5.0178542801810725e+22,-0.00025,0.000125,0.000125,-1.0304209798955971e-29,5.1521048994779854e-30,2.0608419597911942e-29,-1.0304209798955971e-29,1.0304209798955968e-29,0.0,0.8181818181818181,-1.0,-0.0,-0.0,1.0540925533894598,1.0540925533894598,0.31622776601683805,-728423054793593.0,2.721470591144775e-10,-364211527396796.5,364211527396796.5,-1.5707963267948952,2.721470591144775e-10,-0.7853981632613741,0.7853981635335211,-0.31622776601683794,0.7597469266479577,-1.0,0.38742588672279343,0.0
0.0,0.014082984157914046,1.303407970306232e-05,0.0,0.0,19.999999752086946,2.953339345458309e+22,9.999999876043473,0.9999999946166365,0.014844493278224485,-19.98515525880872,-24.379604385935266,-3805268.8405439663,0.014082984157914043,69367708594.24272,2198.130041392334,nan,nan,3402.521176472246,531079487.8849768,1.5707963267948966,0.0,1.0540534354404403,-3.520746068573142e-05,0.0,0.0,-0.9486832980505139,1.0540534354404403,0.0,0.0,0.0,0.9486832980505139,0.9486832980505138,1.0,1.1102230246251565e-16,0.0,-4.440892098500626e-16,1.0,-4.440892098500626e-16,-6.124938704308118,-90.802072148239,-229.9680326225932,5.017854186881713e+22,-0.00025000000929673976,0.00012500000464836988,0.00012500000464836988,-1.0304210182138198e-29,5.152105091069099e-30,2.0608420364276396e-29,-1.0304210182138198e-29,1.0304210182138197e-29,0.0,0.8181818161329498,-1.0,-3.340085383031102e-05,-3.340072987332083e-05,1.0541316742420719,1.0540801842004515,0.31619436685490016,-725724696935474.6,2.7315890679636906e-10,-362862348467737.3,362862348467737.3,-1.5707963267948952,2.7315890679636906e-10,-0.7853981632608682,0.785398163534027,-0.3162277679767627,0.7597469255166591,-0.9998886642342922,0.38737440065800943,0.0
0.0,0.059343551929750486,0.00018185644750561252,0.0,0.0,19.99999326067899,2.953338386891771e+22,9.999996630339496,0.999999853657479,0.07739087774254384,-19.922602382936446,-24.3170507887953,-3795505.2180383448,0.07342653608766452,361672675428.77026,11460.715498921663,nan,nan,724.3848453993596,113064963.52954234,1.5707963267948966,0.0,1.0538886302017096,-0.0001835663814562551,0.0,0.0,-0.948683298050514,1.0538886302017096,0.0,0.0,0.0,0.948683298050514,0.9486832980505138,1.0,2.220446049250313e-16,0.0,-6.661338147750939e-16,1.0,-6.661338147750939e-16,-6.124937858553174,-90.80207130248405,-229.96803177683825,5.0178517439114585e+22,-0.00025000025272470814,0.00012500012636235407,0.00012500012636235407,-1.0304220215469627e-29,5.1521101077348135e-30,2.0608440430939254e-29,-1.0304220215469627e-29,1.0304220215469628e-29,0.0,0.8181817624849335,-1.0,-0.000174149723378812,-0.00017414635365095972,1.0542965555091077,1.0540280941902116,0.31605366228575266,-714462516713762.8,2.7746375114166744e-10,-357231258356881.4,357231258356881.4,-1.5707963267948952,2.7746375114166744e-10,-0.7853981632587157,0.7853981635361795,-0.3162278192958621,0.7597468958944863,-0.9994195122305652,0.38715753351109944,0.0
0.0,0.15975783512928998,0.008235813109556012,0.0,0.0,19.99993203123428,2.953329345325251e+22,9.99996601561714,0.9999985240744974,0.24572241933970412,-19.754209611894577,-24.148651214467677,-3769220.7204392185,0.23318437121695446,1148582241514.4512,36396.37493074414,nan,nan,288.95387100992303,45101107.64319685,1.5707963267948966,0.0,1.0534452153441878,-0.0005829622488169857,0.0,0.0,-0.948683298050514,1.0534452153441878,0.0,0.0,0.0,0.948683298050514,0.9486832980505138,1.0,2.220446049250313e-16,0.0,-6.661338147750939e-16,1.0,-6.661338147750939e-16,-6.124929881055285,-90.80206332498616,-229.96802379934036,5.017828700900644e+22,-0.00025000254884603864,0.00012500127442301932,0.00012500127442301932,-1.030431485433328e-29,5.15215742716664e-30,2.060862970866656e-29,-1.030431485433328e-29,1.0304314854333281e-29,0.0,0.8181812564547462,-1.0,-0.0005530803267026955,-0.0005530463400132029,1.054740687497403,1.0538881189402656,0.3156751495290191,-684996434655921.9,2.893893992810065e-10,-342498217327960.94,342498217327960.94,-1.570796326794895,2.893893992810065e-10,-0.7853981632527528,0.7853981635421422,-0.31622830335848107,0.759746616486217,-0.9981565146363381,0.38657440847359004,0.0
0.0,0.23036883300165928,0.025822338656116557,0.0,0.0,19.999731396831113,2.9532997182510374e+22,9.999865698415556,0.9999941673171295,0.4883297755303377,-19.511401621300774,-23.90582093095399,-3731318.771877323,0.4635532042186137,2283296155672.6724,72353.28908639036,nan,nan,189.4898317550416,29576351.648813542,1.5707963267948966,0.0,1.0528064651318065,-0.001158893386641672,0.0,0.0,-0.9486832980505141,1.0528064651318065,0.0,0.0,0.0,0.9486832980505141,0.9486832980505138,1.0,3.3306690738754696e-16,0.0,-6.661338147750939e-16,1.0,-6.661338147750939e-16,-6.124903740511077,-90.80203718444196,-229.96799765879615,5.01775319465341e+22,-0.00025001007288939303,0.00012500503644469654,0.00012500503644469654,-1.0304624971618321e-29,5.152312485809161e-30,2.0609249943236642e-29,-1.0304624971618322e-29,1.030462497161832e-29,2.16831698010257e-16,0.8181795982938151,-1.0,-0.001099555480903775,-0.0010994211595036273,1.0553817876118383,1.0536869294001368,0.31513004350227597,-644613125012318.9,3.074846055017871e-10,-322306562506159.44,322306562506159.44,-1.570796326794895,3.074846055017871e-10,-0.7853981632437051,0.7853981635511899,-0.3162298895327284,0.759745700923877,-0.9963352819420261,0.38573533729978,0.0
0.0,0.318606948938813,0.0774027043001129,0.0,0.0,19.99923527212168,2.953226457018898e+22,9.99961763606084,0.9999833938276323,0.8236206611599681,-19.175614610961713,-23.569978794064877,-3678899.1510083675,0.7821601531574266,3852639253858.897,122082.7709920557,nan,nan,148.46363744715578,23172814.644088224,1.5707963267948966,0.0,1.051924300171308,-0.001955450229327667,0.0,0.0,-0.9486832980505141,1.051924300171308,0.0,0.0,0.0,0.9486832980505141,0.9486832980505138,1.0,3.3306690738754696e-16,0.0,-8.881784197001252e-16,1.0,-8.881784197001252e-16,-6.124839099574094,-90.80197254350497,-229.96793301785917,5.017566485952851e+22,-0.0002500286794886095,0.00012501433974430472,0.00012501433974430472,-1.0305391876826206e-29,5.1526959384131016e-30,2.0610783753652412e-29,-1.0305391876826203e-29,1.0305391876826206e-29,2.1681556185935405e-16,0.8181754978970127,-1.0,-0.0018554775614431313,-0.0018550950910477236,1.0562697635877254,1.0534099406492048,0.31437750681001775,-592619170019909.6,3.343698594725113e-10,-296309585009954.8,296309585009954.8,-1.5707963267948948,3.343698594725113e-10,-0.7853981632302625,0.7853981635646323,-0.3162338118949322,0.75974343689009,-0.9938164416461027,0.38457833143938935,0.0
0.0,0.38272694006814045,0.1298961775139706,0.0,0.0,19.99830374962035,2.9530889019144754e+22,9.999151874810176,0.9999631648289458,1.226017936239137,-18.772285813381213,-23.16654648690824,-3615929.778602244,1.164887093225567,5737814338352.165,181820.3646142978,nan,nan,128.82753408052872,20107930.9360559,1.5707963267948966,0.0,1.0508664767381464,-0.002912382405452634,0.0,0.0,-0.9486832980505141,1.0508664767381464,0.0,0.0,0.0,0.9486832980505141,0.9486832980505138,1.0,3.3306690738754696e-16,0.0,-6.661338147750939e-16,1.0,-6.661338147750939e-16,-6.1247177255819745,-90.80185116951286,-229.96781164386704,5.017215928424521e+22,-0.00025006362018050723,0.00012503181009025362,0.00012503181009025362,-1.0306832021705546e-29,5.153416010852773e-30,2.0613664043411092e-29,-1.0306832021705546e-29,1.0306832021705544e-29,0.0,0.8181677985026898,-1.0,-0.002763751028199136,-0.0027629025066106924,1.0573384986341565,1.0530791277754716,0.3134755894700731,-535625460348411.4,3.697573807165767e-10,-267812730174205.7,267812730174205.7,-1.5707963267948948,3.697573807165767e-10,-0.7853981632125687,0.7853981635823261,-0.3162411769066065,0.7597391857548268,-0.9907906287412006,0.3831937281135166,0.0
0.0,0.43991665548136555,0.18901375355703806,0.0,0.0,19.996780583414264,2.9528639805773817e+22,9.998390291707132,0.9999300856298553,1.6880446056864136,-18.30873597772785,-22.702827387452864,-3543550.5959055535,1.6048037487069324,7904685366609.093,250484.36403937856,nan,nan,117.79225464095366,18385499.17164482,1.5707963267948966,0.0,1.0496530635043957,-0.004012439969225429,0.0,0.0,-0.9486832980505142,1.0496530635043957,0.0,0.0,0.0,0.9486832980505142,0.9486832980505138,1.0,4.440892098500626e-16,0.0,-1.1102230246251565e-15,1.0,-1.1102230246251565e-15,-6.124519250387432,-90.80165269431832,-229.96761316867253,5.016642736693065e+22,-0.000250120766999807,0.0001250603834999035,0.0001250603834999035,-1.0309187432967176e-29,5.154593716483588e-30,2.0618374865934353e-29,-1.0309187432967176e-29,1.0309187432967175e-29,0.0,0.818155207539051,-1.0,-0.003808077569207315,-0.0038064666899333592,1.0585697562758425,1.0527014434861348,0.3124416558206646,-476792919903917.75,4.150312132792951e-10,-238396459951958.88,238396459951958.88,-1.5707963267948946,4.150312132792951e-10,-0.7853981631899317,0.7853981636049628,-0.3162532208128585,0.7597322340320241,-0.9873125719987534,0.38160922557374466,0.0
0.0,0.48434284677849965,0.23467563743940717,0.0,0.0,19.99454383695727,2.952533687007425e+22,9.997271918478635,0.9998815047609403,2.1961136277720086,-17.798430209185263,-22.192273031619212,-3463861.1739238496,2.089146595485432,10290383815055.93,326082.58597155457,nan,nan,110.97307895276333,17321134.206828758,1.5707963267948966,0.0,1.0483200981115968,-0.005223816581135279,0.0,0.0,-0.9486832980505143,1.0483200981115968,0.0,0.0,0.0,0.9486832980505143,0.9486832980505138,1.0,5.551115123125783e-16,0.0,-1.1102230246251565e-15,1.0,-1.1102230246251565e-15,-6.124227765173941,-90.80136120910483,-229.96732168345903,5.015801052900477e+22,-0.00025020471780131385,0.00012510235890065695,0.00012510235890065695,-1.0312647619653246e-29,5.1563238098266235e-30,2.062529523930649e-29,-1.0312647619653247e-29,1.0312647619653244e-29,2.1666301539255213e-16,0.8181367147392787,-1.0,-0.004958328274962144,-0.00495559728290702,1.0599289313861828,1.0522887466193116,0.3113066670409615,-419398836411056.1,4.712416339177507e-10,-209699418205528.06,209699418205528.06,-1.5707963267948941,4.712416339177507e-10,-0.7853981631618262,0.7853981636330679,-0.31627090960073034,0.7597220243234989,-0.9834830949589072,0.37987324909407827,0.0
0.0,0.5217657586283814,0.27219101429859677,0.0,0.0,19.99147771032417,2.9520809213806277e+22,9.995738855162084,0.99981490139163,2.7427172792854457,-17.248760431038722,-21.64226244040041,-3378013.260577827,2.6109123541138133,12860414051058.73,407521.92977472086,nan,nan,106.40423554820082,16608010.352582114,1.5707963267948966,0.0,1.0468875452496802,-0.006529135737207855,0.0,0.0,-0.9486832980505143,1.0468875452496802,0.0,0.0,0.0,0.9486832980505143,0.9486832980505138,1.0,5.551115123125783e-16,0.0,-1.3322676295501878e-15,1.0,-1.3322676295501878e-15,-6.12382814495808,-90.80096158888897,-229.96692206324315,5.014647351291951e+22,-0.0002503198584167251,0.00012515992920836258,0.00012515992920836258,-1.031739335188356e-29,5.158696675941781e-30,2.063478670376712e-29,-1.0317393351883562e-29,1.031739335188356e-29,2.1656335604835566e-16,0.8181113587413842,-1.0,-0.006198056149149894,-0.006193788634235439,1.0613974230551226,1.0518477820756165,0.3100878612218404,-365208331256109.75,5.402445451969342e-10,-182604165628054.88,182604165628054.88,-1.570796326794894,5.402445451969342e-10,-0.7853981631273247,0.7853981636675692,-0.31629516217209974,0.7597080265415839,-0.9793574593668452,0.3780130111503792,0.0
